City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kavaratti,10.5669,72.642,301.4,76,100,6.97,IN,1691611315
84,inhumas,-16.3578,-49.4961,307.0,16,4,2.25,BR,1691611315
85,luderitz,-26.6481,15.1594,296.78,44,71,3.79,NA,1691611315
86,al ghayzah,16.2079,52.176,298.72,90,78,5.71,YE,1691611316
87,selfoss,63.9331,-20.9971,286.51,71,100,3.5,IS,1691611316
88,karaton,-6.3424,106.1045,295.41,95,87,0.98,ID,1691611316
89,hudiksvall,61.729,17.1036,286.24,87,76,4.53,SE,1691611316
90,talnakh,69.4865,88.3972,288.82,63,100,2.53,RU,1691611074
91,bontang,0.1333,117.5,297.44,91,100,3.19,ID,1691611316
92,san andres,12.5847,-81.7006,304.16,74,20,4.12,CO,1691611300
93,puerto baquerizo moreno,-0.9,-89.6,300.7,69,75,7.72,EC,1691611317
94,port mathurin,-19.6833,63.4167,296.13,62,0,8.36,MU,1691611279
95,dokshytsy,54.8924,27.7689,286.2,80,46,3.01,BY,1691611317
96,uturoa,-16.7333,-151.4333,298.05,70,11,8.42,PF,1691611317
97,puerto aysen,-45.4,-72.7,281.17,100,100,0.0,CL,1691611317
98,ouargaye,11.5033,0.0572,297.74,87,100,2.17,BF,1691611317
99,puerto ayora,-0.7393,-90.3518,304.13,84,99,3.13,EC,1691611318
100,olonkinbyen,70.9221,-8.7187,279.09,99,100,3.92,SJ,1691611318
101,hamilton,39.1834,-84.5333,301.36,76,0,5.14,US,1691611099
102,taltal,-25.4,-70.4833,291.14,70,83,1.51,CL,1691611318
103,anadyr,64.75,177.4833,282.43,81,75,4.0,RU,1691611319
104,stanley,54.868,-1.6985,291.36,79,75,2.57,GB,1691611319
105,abnub,27.2696,31.1511,305.27,24,0,3.75,EG,1691611319
106,tiksi,71.6872,128.8694,288.65,54,8,3.37,RU,1691611319
107,vila franca do campo,37.7167,-25.4333,296.38,94,100,5.3,PT,1691611319
